cell,r0,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,r20,r21,r22,r23,r24,r25,r26,r27,r28,r29
232198,4,?,11,2,?,0,0,?,?,0,1,7,0,1,9,?,0,0,?,?,0,13,4,?,0,?,?,3,?,0
198726,0,0,0,0,0,1,?,6,1,?,1,13,0,1,0,2,0,0,?,?,1,3,13,25,9,?,?,?,14,0
197644,3,12,0,?,1,1,0,?,1,1,?,0,0,?,?,2,0,8,3,2,?,0,0,0,0,3,?,3,?,?
170755,1,9,0,0,0,1,?,?,?,1,1,?,0,?,13,2,0,15,?,2,1,4,0,11,?,8,?,3,0,0
138501,0,?,0,?,?,?,27,0,1,?,1,15,19,?,4,2,0,0,?,2,?,?,0,0,0,6,?,3,2,?
167648,3,0,14,?,0,19,?,0,1,0,1,?,16,1,0,2,0,0,3,2,1,?,0,?,28,0,?,3,0,0
135506,6,?,0,?,0,?,5,0,1,1,1,0,0,1,7,2,0,0,?,?,1,5,4,?,0,3,?,?,24,0
145157,0,0,0,?,0,6,?,16,1,?,1,?,0,1,13,2,0,8,3,2,1,13,?,?,10,4,?,3,42,?
252597,3,17,?,11,0,0,?,8,1,?,1,0,0,1,1,2,0,7,3,2,1,0,15,0,0,?,?,3,0,0
209599,0,0,0,11,1,0,0,0,1,?,1,0,0,?,0,2,0,7,3,2,1,4,15,0,0,?,?,3,0,0
226681,3,0,0,?,1,0,?,0,1,1,1,0,9,1,6,?,0,0,3,2,1,4,0,0,0,0,?,?,0,?
245349,?,25,0,12,?,0,15,27,1,1,11,0,?,1,0,2,?,24,3,0,?,8,?,?,27,4,?,3,34,?
225172,0,28,0,12,0,13,0,0,1,?,11,2,11,1,0,?,?,24,3,2,?,0,?,14,?,4,?,3,0,0
165811,4,?,0,12,1,0,18,?,1,1,11,0,0,1,?,2,?,24,3,0,?,0,?,14,?,?,?,3,?,23
148522,4,23,15,?,1,?,4,0,1,1,11,0,10,1,?,?,25,?,?,0,?,0,?,14,27,4,?,3,?,0
261816,0,?,0,12,1,6,15,9,1,?,11,0,12,1,0,2,0,24,3,0,?,0,0,0,?,?,?,3,40,?
117655,?,15,5,12,1,2,?,9,1,1,11,0,31,1,?,2,0,24,3,?,?,?,0,10,27,0,?,?,?,10
246056,6,15,5,12,1,2,14,9,1,1,11,0,?,1,11,2,9,?,3,0,?,4,0,0,27,0,?,?,0,?
142469,?,28,?,0,1,?,15,?,?,0,0,0,5,1,1,2,0,24,3,?,?,?,0,?,?,?,?,3,34,?
182258,0,0,13,?,0,6,15,?,?,0,17,0,5,?,?,?,0,?,3,0,?,?,?,5,?,0,?,3,34,0
259076,4,0,14,0,0,0,15,0,?,0,0,?,5,1,7,2,24,24,3,?,?,5,0,0,9,0,?,?,?,0
182420,4,0,14,0,?,?,15,0,?,0,17,0,5,1,7,2,0,24,?,0,?,0,0,0,0,0,?,3,0,0
208438,0,0,0,17,0,0,15,7,1,0,?,0,5,?,0,2,?,24,3,0,?,0,0,14,0,8,?,3,0,8
180422,3,?,?,0,?,0,15,?,1,0,0,10,0,?,6,2,?,24,3,0,?,8,0,?,0,0,?,3,16,?
257182,3,0,19,0,1,16,?,0,?,?,0,?,8,?,6,2,25,24,3,2,?,?,0,?,0,0,?,3,11,3
173604,0,?,19,0,0,2,15,0,1,1,0,10,0,?,?,2,0,?,3,?,?,0,4,0,21,0,?,3,0,0
198530,3,?,19,2,1,2,15,0,?,1,3,10,0,?,6,2,0,24,3,4,?,0,9,0,21,?,?,3,0,0
238733,?,0,19,?,0,0,15,?,1,1,0,10,0,?,6,2,?,24,3,4,?,11,?,0,21,0,?,3,?,6
139039,3,0,5,17,0,0,0,?,?,?,0,0,21,1,0,2,0,?,3,0,?,15,?,2,?,?,?,3,0,?
240952,3,28,0,17,0,?,0,0,1,0,0,0,21,1,?,2,0,5,3,0,?,?,0,?,0,4,?,3,1,18
171768,3,27,0,7,0,1,?,5,?,1,11,1,16,?,6,2,22,0,3,2,?,11,1,1,26,6,?,?,0,?
245171,0,27,0,7,?,11,0,0,1,0,?,0,16,1,1,2,0,?,3,?,?,?,1,?,?,0,?,?,0,18
199963,?,?,5,7,?,?,39,0,1,1,0,0,?,?,0,2,0,?,3,?,?,5,0,?,?,0,?,3,20,3
188329,0,?,?,6,?,?,?,0,?,?,3,0,0,1,0,?,0,0,3,?,?,5,?,?,0,0,?,3,20,3
